n,kernel,trial,seed,kernel_ms,device_path_ms,input_bytes,output_bytes,mismatches
512,int8,27,237,61.339000000,72.321359000,524288,1048576,0
512,int8,28,237,61.321000000,71.237021000,524288,1048576,0
512,int8,29,237,61.844000000,72.432709000,524288,1048576,0
512,int8,30,237,61.307000000,76.735947000,524288,1048576,0
512,int4,1,237,61.355000000,71.995589000,262144,1048576,0
512,int4,2,237,61.330000000,72.801395000,262144,1048576,0
512,int4,3,237,61.185000000,71.697214000,262144,1048576,0
512,int4,4,237,61.115000000,71.357955000,262144,1048576,0
512,int4,5,237,61.278000000,72.017098000,262144,1048576,0
512,int4,6,237,61.249000000,74.045726000,262144,1048576,0
512,int4,7,237,61.164000000,71.993922000,262144,1048576,0
512,int4,8,237,61.225000000,71.238948000,262144,1048576,0
512,int4,9,237,61.210000000,72.876913000,262144,1048576,0
512,int4,10,237,61.176000000,71.301863000,262144,1048576,0
512,int4,11,237,61.145000000,71.115046000,262144,1048576,0
512,int4,12,237,61.235000000,72.863319000,262144,1048576,0
512,int4,13,237,61.188000000,71.667319000,262144,1048576,0
512,int4,14,237,61.141000000,71.632268000,262144,1048576,0
512,int4,15,237,61.231000000,72.314536000,262144,1048576,0
512,int4,16,237,61.176000000,71.687214000,262144,1048576,0
512,int4,17,237,61.127000000,71.790440000,262144,1048576,0
512,int4,18,237,61.221000000,72.791812000,262144,1048576,0
512,int4,19,237,61.128000000,71.278061000,262144,1048576,0
512,int4,20,237,61.097000000,72.258861000,262144,1048576,0
512,int4,21,237,61.232000000,71.122910000,262144,1048576,0
512,int4,22,237,61.229000000,72.642493000,262144,1048576,0
512,int4,23,237,61.215000000,72.593589000,262144,1048576,0
512,int4,24,237,61.191000000,71.382589000,262144,1048576,0
512,int4,25,237,61.131000000,70.909897000,262144,1048576,0
512,int4,26,237,61.083000000,71.754034000,262144,1048576,0
512,int4,27,237,61.090000000,71.382901000,262144,1048576,0
512,int4,28,237,61.229000000,71.673048000,262144,1048576,0
512,int4,29,237,61.237000000,72.906860000,262144,1048576,0
512,int4,30,237,61.200000000,72.461406000,262144,1048576,0
1024,int32,1,237,504.554000000,541.175181000,8388608,4194304,0
1024,int32,2,237,506.124000000,537.924304000,8388608,4194304,0
1024,int32,3,237,505.322000000,536.332276000,8388608,4194304,0
1024,int32,4,237,505.699000000,537.240264000,8388608,4194304,0
1024,int32,5,237,503.562000000,536.341129000,8388608,4194304,0
1024,int32,6,237,505.408000000,537.639783000,8388608,4194304,0
1024,int32,7,237,505.252000000,536.651796000,8388608,4194304,0
1024,int32,8,237,504.149000000,528.502024000,8388608,4194304,0
1024,int32,9,237,503.159000000,532.384339000,8388608,4194304,0
1024,int32,10,237,506.093000000,536.444771000,8388608,4194304,0
1024,int32,11,237,505.490000000,536.069575000,8388608,4194304,0
1024,int32,12,237,506.034000000,537.351146000,8388608,4194304,0
1024,int32,13,237,502.075000000,533.821111000,8388608,4194304,0
1024,int32,14,237,506.027000000,538.555896000,8388608,4194304,0
1024,int32,15,237,505.890000000,531.458120000,8388608,4194304,0
1024,int32,16,237,504.841000000,535.160961000,8388608,4194304,0
1024,int32,17,237,500.752000000,536.022181000,8388608,4194304,0
1024,int32,18,237,505.709000000,536.666117000,8388608,4194304,0
1024,int32,19,237,506.678000000,537.256722000,8388608,4194304,0
1024,int32,20,237,505.973000000,537.147454000,8388608,4194304,0
1024,int32,21,237,501.289000000,532.683389000,8388608,4194304,0
1024,int32,22,237,504.993000000,536.843507000,8388608,4194304,0
1024,int32,23,237,505.569000000,535.395223000,8388608,4194304,0
1024,int32,24,237,506.109000000,534.478640000,8388608,4194304,0
1024,int32,25,237,501.310000000,532.137002000,8388608,4194304,0
1024,int32,26,237,505.473000000,535.529437000,8388608,4194304,0
1024,int32,27,237,506.134000000,533.494976000,8388608,4194304,0
1024,int32,28,237,506.286000000,533.764498000,8388608,4194304,0
1024,int32,29,237,502.420000000,529.636359000,8388608,4194304,0
1024,int32,30,237,505.852000000,542.389252000,8388608,4194304,0
1024,int8,1,237,498.886000000,507.693366000,2097152,4194304,0
1024,int8,2,237,495.258000000,505.884105000,2097152,4194304,0
1024,int8,3,237,498.258000000,508.913324000,2097152,4194304,0
1024,int8,4,237,498.243000000,508.356416000,2097152,4194304,0
1024,int8,5,237,497.924000000,509.337059000,2097152,4194304,0
1024,int8,6,237,497.690000000,507.080575000,2097152,4194304,0
1024,int8,7,237,495.688000000,505.158818000,2097152,4194304,0
1024,int8,8,237,498.029000000,508.378654000,2097152,4194304,0
1024,int8,9,237,495.492000000,505.867595000,2097152,4194304,0
1024,int8,10,237,495.795000000,507.743884000,2097152,4194304,0
1024,int8,11,237,498.206000000,508.335792000,2097152,4194304,0
1024,int8,12,237,498.048000000,508.212931000,2097152,4194304,0
1024,int8,13,237,496.708000000,505.792597000,2097152,4194304,0
1024,int8,14,237,498.298000000,508.266835000,2097152,4194304,0
1024,int8,15,237,497.185000000,510.164582000,2097152,4194304,0
1024,int8,16,237,490.432000000,499.332664000,2097152,4194304,0
1024,int8,17,237,497.749000000,506.776470000,2097152,4194304,0
1024,int8,18,237,495.656000000,505.465785000,2097152,4194304,0
1024,int8,19,237,497.732000000,506.984274000,2097152,4194304,0
1024,int8,20,237,496.109000000,505.455890000,2097152,4194304,0
1024,int8,21,237,496.811000000,507.016878000,2097152,4194304,0
1024,int8,22,237,498.360000000,509.103316000,2097152,4194304,0
1024,int8,23,237,498.487000000,506.973962000,2097152,4194304,0
1024,int8,24,237,498.718000000,507.975074000,2097152,4194304,0
1024,int8,25,237,497.814000000,505.937019000,2097152,4194304,0
1024,int8,26,237,498.259000000,507.839037000,2097152,4194304,0
1024,int8,27,237,498.316000000,509.088942000,2097152,4194304,0
1024,int8,28,237,495.689000000,505.124339000,2097152,4194304,0
1024,int8,29,237,498.451000000,506.911725000,2097152,4194304,0
1024,int8,30,237,498.377000000,506.790426000,2097152,4194304,0
1024,int4,1,237,497.227000000,508.052466000,1048576,4194304,0
1024,int4,2,237,494.109000000,502.369433000,1048576,4194304,0
1024,int4,3,237,496.277000000,504.491964000,1048576,4194304,0
1024,int4,4,237,496.804000000,506.214508000,1048576,4194304,0
1024,int4,5,237,496.553000000,505.066788000,1048576,4194304,0
1024,int4,6,237,496.751000000,504.708415000,1048576,4194304,0
1024,int4,7,237,496.310000000,503.617151000,1048576,4194304,0
1024,int4,8,237,496.572000000,504.426549000,1048576,4194304,0
1024,int4,9,237,496.598000000,506.962452000,1048576,4194304,0
1024,int4,10,237,495.898000000,504.506026000,1048576,4194304,0
1024,int4,11,237,495.929000000,505.455681000,1048576,4194304,0
1024,int4,12,237,494.774000000,505.336622000,1048576,4194304,0
1024,int4,13,237,496.408000000,506.077430000,1048576,4194304,0
1024,int4,14,237,496.756000000,507.713102000,1048576,4194304,0
1024,int4,15,237,496.463000000,505.463388000,1048576,4194304,0
1024,int4,16,237,496.606000000,504.333167000,1048576,4194304,0
1024,int4,17,237,496.656000000,505.386516000,1048576,4194304,0
1024,int4,18,237,496.408000000,504.853357000,1048576,4194304,0
1024,int4,19,237,495.923000000,505.343861000,1048576,4194304,0
1024,int4,20,237,496.140000000,506.566423000,1048576,4194304,0
1024,int4,21,237,494.435000000,503.417313000,1048576,4194304,0
1024,int4,22,237,496.520000000,505.320736000,1048576,4194304,0
1024,int4,23,237,496.703000000,504.931427000,1048576,4194304,0
1024,int4,24,237,496.045000000,504.690134000,1048576,4194304,0
1024,int4,25,237,496.580000000,506.982658000,1048576,4194304,0
1024,int4,26,237,496.203000000,503.479654000,1048576,4194304,0
1024,int4,27,237,496.769000000,505.629320000,1048576,4194304,0
1024,int4,28,237,496.489000000,505.867592000,1048576,4194304,0
1024,int4,29,237,496.403000000,504.080831000,1048576,4194304,0
1024,int4,30,237,494.497000000,507.102915000,1048576,4194304,0
